timesteps	evaders	pursuers
0	[[1, 4], [1, 6]]	[[2, 0], [2, 2], [2, 4], [2, 6], [2, 8]]
1	[[2, 4], [2, 6]]	[[3, 0], [3, 2], [3, 4], [3, 6], [3, 8]]
2	[[3, 4], [3, 6]]	[[4, 0], [4, 2], [4, 4], [4, 6], [4, 8]]
3	[[4, 4], [4, 6]]	[[5, 0], [5, 2], [5, 4], [5, 6], [5, 8]]
4	[[5, 4], [5, 6]]	[[6, 0], [6, 2], [6, 4], [6, 6], [6, 8]]
5	[[6, 4], [6, 6]]	[[7, 0], [7, 2], [7, 4], [7, 6], [7, 8]]
6	[[7, 4], [7, 6]]	[[8, 0], [8, 2], [8, 4], [8, 6], [8, 8]]
7	[[8, 4], [8, 6]]	[[9, 0], [9, 2], [9, 4], [9, 6], [9, 8]]
8	[[9, 4], [9, 6]]	[[10, 0], [10, 2], [10, 4], [10, 6], [10, 8]]
9	[[10, 4], [10, 6]]	[[11, 0], [11, 2], [11, 4], [11, 6], [11, 8]]
