timesteps	evaders	pursuers
2	[[13, 17], [22, 14], [13, 12], [26, 6], [8, 6], [4, 8], [16, 31], [29, 33], [18, 8], [5, 23], [17, 22], [36, 27], [20, 3], [26, 7], [27, 11], [20, 22], [32, 23], [8, 22], [37, 15], [26, 17], [0, 32], [28, 4], [30, 27], [16, 4], [11, 15], [14, 39], [30, 38], [16, 33], [28, 14], [23, 33]]	[[25, 30], [22, 5], [29, 7], [1, 34], [28, 2], [0, 27], [23, 20], [7, 33], [31, 37], [28, 18], [28, 5], [8, 36], [39, 18], [8, 7], [7, 22], [8, 2], [23, 7], [26, 1], [14, 1], [25, 27], [16, 32], [11, 18], [5, 19], [4, 23], [21, 1], [21, 39], [23, 13], [5, 22], [30, 13], [7, 39], [39, 6], [33, 23], [33, 2], [26, 13], [21, 25], [4, 17], [38, 14], [12, 17], [6, 27], [39, 1], [1, 4], [31, 1], [39, 12], [38, 18], [6, 1], [30, 12], [36, 15], [5, 6], [32, 31], [32, 4], [30, 31], [9, 37], [38, 34], [8, 0], [29, 14], [17, 25], [28, 27], [2, 0], [34, 37], [15, 16], [6, 3], [6, 9], [3, 21], [3, 35], [35, 18], [20, 21], [16, 10], [21, 22], [19, 24], [23, 31], [31, 15], [37, 29], [24, 39], [0, 30], [26, 8], [35, 20], [5, 35], [15, 29], [11, 26], [1, 15], [32, 13], [0, 14], [21, 2], [18, 39], [38, 6], [9, 4], [39, 10], [37, 37], [15, 24], [15, 4], [3, 2], [36, 29], [25, 7], [3, 10], [38, 0], [32, 24], [33, 22], [2, 25], [13, 18], [35, 13], [9, 22], [18, 22], [14, 6], [35, 4], [3, 7], [4, 12], [32, 29], [2, 24], [31, 26], [9, 35], [21, 33], [24, 22], [7, 17], [29, 20], [38, 26], [28, 9], [33, 11], [28, 26], [6, 0], [34, 16]]
3	[[13, 16], [23, 14], [12, 12], [25, 6], [9, 6], [3, 8], [15, 31], [28, 33], [18, 9], [5, 24], [16, 22], [35, 27], [20, 4], [26, 6], [26, 11], [19, 22], [32, 22], [8, 21], [38, 15], [25, 17], [0, 33], [28, 3], [30, 28], [17, 4], [11, 16], [15, 39], [30, 39], [17, 33], [28, 13], [24, 33]]	[[25, 31], [23, 5], [28, 7], [0, 34], [28, 2], [1, 27], [23, 19], [7, 32], [31, 38], [27, 18], [28, 4], [8, 35], [39, 17], [9, 7], [7, 21], [9, 2], [23, 6], [26, 2], [14, 2], [26, 27], [16, 33], [11, 17], [6, 19], [4, 23], [20, 1], [20, 39], [23, 13], [5, 23], [29, 13], [6, 39], [39, 7], [32, 23], [32, 2], [27, 13], [20, 25], [5, 17], [38, 14], [12, 16], [6, 26], [39, 2], [1, 5], [30, 1], [39, 13], [38, 17], [7, 1], [29, 12], [37, 15], [6, 6], [33, 31], [31, 4], [29, 31], [9, 38], [37, 34], [9, 0], [28, 14], [17, 24], [28, 28], [1, 0], [33, 37], [14, 16], [6, 4], [6, 8], [3, 22], [2, 35], [35, 17], [19, 21], [17, 10], [20, 22], [19, 23], [23, 32], [30, 15], [37, 28], [23, 39], [0, 31], [26, 7], [34, 20], [5, 34], [15, 30], [11, 25], [2, 15], [32, 13], [0, 14], [21, 3], [17, 39], [38, 7], [10, 4], [38, 10], [36, 37], [15, 23], [16, 4], [2, 2], [36, 28], [25, 7], [2, 10], [37, 0], [32, 24], [33, 22], [3, 25], [13, 17], [36, 13], [9, 21], [18, 22], [13, 6], [35, 5], [3, 7], [3, 12], [31, 29], [3, 24], [31, 27], [9, 34], [20, 33], [23, 22], [8, 17], [30, 20], [37, 26], [27, 9], [32, 11], [29, 26], [7, 0], [35, 16]]
4	[[13, 15], [23, 15], [11, 12], [24, 6], [10, 6], [2, 8], [14, 31], [28, 32], [19, 9], [6, 24], [16, 23], [35, 28], [19, 4], [25, 6], [26, 10], [19, 22], [32, 21], [8, 20], [38, 16], [26, 17], [1, 33], [29, 3], [30, 27], [17, 5], [10, 16], [16, 39], [29, 39], [17, 34], [28, 12], [23, 33]]	[[26, 31], [24, 5], [29, 7], [0, 33], [29, 2], [2, 27], [23, 18], [6, 32], [30, 38], [27, 18], [28, 3], [7, 35], [39, 16], [10, 7], [7, 20], [10, 2], [23, 6], [26, 2], [15, 2], [27, 27], [15, 33], [11, 16], [7, 19], [4, 23], [20, 2], [19, 39], [23, 14], [6, 23], [28, 13], [5, 39], [39, 8], [32, 22], [32, 3], [27, 12], [19, 25], [6, 17], [38, 15], [12, 15], [7, 26], [39, 2], [1, 6], [29, 1], [39, 13], [38, 17], [7, 2], [29, 12], [37, 15], [7, 6], [33, 30], [30, 4], [29, 32], [8, 38], [38, 34], [10, 0], [28, 14], [17, 23], [28, 29], [2, 0], [32, 37], [14, 15], [7, 4], [5, 8], [3, 22], [2, 34], [36, 17], [19, 21], [18, 10], [20, 22], [19, 23], [23, 32], [30, 14], [37, 29], [22, 39], [0, 32], [26, 6], [33, 20], [5, 33], [15, 31], [10, 25], [3, 15], [31, 13], [0, 13], [20, 3], [17, 39], [38, 8], [11, 4], [37, 10], [35, 37], [15, 23], [17, 4], [1, 2], [36, 28], [25, 7], [2, 9], [38, 0], [31, 24], [33, 21], [4, 25], [13, 16], [36, 14], [9, 20], [18, 22], [13, 7], [35, 6], [2, 7], [3, 11], [31, 29], [2, 24], [31, 27], [10, 34], [21, 33], [23, 21], [9, 17], [29, 20], [36, 26], [26, 9], [31, 11], [30, 26], [8, 0], [36, 16]]
5	[[13, 14], [22, 15], [12, 12], [24, 7], [11, 6], [1, 8], [14, 32], [28, 31], [18, 9], [5, 24], [16, 22], [35, 27], [18, 4], [24, 6], [25, 10], [19, 22], [32, 20], [8, 21], [37, 16], [27, 17], [2, 33], [29, 4], [29, 27], [16, 5], [10, 17], [16, 38], [30, 39], [17, 35], [28, 11], [23, 34]]	[[27, 31], [24, 5], [29, 6], [1, 33], [29, 3], [2, 26], [23, 17], [6, 32], [30, 38], [27, 18], [28, 4], [6, 35], [39, 16], [11, 7], [8, 20], [11, 2], [23, 6], [27, 2], [16, 2], [28, 27], [15, 32], [11, 17], [8, 19], [5, 23], [19, 2], [19, 38], [22, 14], [6, 24], [28, 12], [4, 39], [39, 9], [32, 22], [32, 4], [27, 11], [18, 25], [7, 17], [38, 16], [12, 14], [7, 25], [39, 3], [1, 7], [30, 1], [39, 14], [38, 17], [8, 2], [29, 11], [37, 15], [8, 6], [32, 30], [30, 4], [28, 32], [7, 38], [38, 35], [11, 0], [28, 15], [17, 22], [28, 30], [1, 0], [32, 38], [14, 14], [8, 4], [4, 8], [3, 22], [2, 34], [37, 17], [19, 21], [18, 10], [20, 22], [19, 23], [23, 33], [30, 14], [37, 29], [22, 38], [1, 32], [25, 6], [33, 20], [4, 33], [14, 31], [10, 24], [4, 15], [31, 13], [0, 12], [20, 4], [17, 38], [38, 9], [12, 4], [37, 11], [34, 37], [15, 22], [17, 4], [2, 2], [36, 27], [25, 7], [1, 9], [39, 0], [31, 25], [33, 21], [4, 25], [13, 16], [36, 14], [9, 21], [18, 22], [12, 7], [35, 7], [2, 8], [3, 10], [30, 29], [3, 24], [30, 27], [11, 34], [22, 33], [23, 20], [9, 17], [29, 19], [36, 26], [26, 10], [31, 10], [29, 26], [9, 0], [36, 16]]
6	[[13, 15], [23, 15], [11, 12], [23, 7], [10, 6], [0, 8], [14, 33], [29, 31], [17, 9], [5, 25], [16, 21], [34, 27], [18, 5], [24, 7], [25, 9], [19, 22], [32, 21], [8, 22], [37, 16], [28, 17], [3, 33], [29, 5], [29, 28], [16, 6], [10, 18], [15, 38], [31, 39], [16, 35], [28, 10], [24, 34]]	[[28, 31], [24, 6], [29, 6], [2, 33], [29, 3], [3, 26], [23, 16], [5, 32], [31, 38], [27, 17], [28, 5], [5, 35], [39, 16], [10, 7], [8, 21], [11, 3], [23, 6], [27, 3], [16, 3], [28, 28], [15, 33], [11, 18], [7, 19], [5, 24], [19, 3], [19, 38], [22, 14], [6, 25], [28, 12], [3, 39], [39, 10], [32, 22], [32, 5], [27, 11], [18, 24], [7, 18], [38, 16], [13, 14], [7, 25], [39, 4], [0, 7], [30, 2], [39, 13], [38, 18], [9, 2], [29, 10], [37, 15], [8, 7], [31, 30], [30, 5], [29, 32], [7, 37], [38, 36], [12, 0], [28, 16], [17, 21], [29, 30], [2, 0], [32, 39], [14, 15], [9, 4], [4, 7], [4, 22], [2, 34], [37, 17], [19, 21], [17, 10], [20, 22], [19, 23], [23, 34], [29, 14], [36, 29], [22, 37], [2, 32], [25, 6], [32, 20], [4, 33], [14, 32], [10, 25], [3, 15], [31, 12], [0, 11], [19, 4], [16, 38], [38, 10], [12, 5], [37, 12], [33, 37], [15, 21], [17, 5], [3, 2], [35, 27], [25, 7], [0, 9], [39, 1], [31, 24], [33, 21], [4, 25], [13, 16], [36, 15], [9, 22], [18, 22], [13, 7], [35, 8], [1, 8], [2, 10], [29, 29], [3, 24], [30, 28], [12, 34], [22, 34], [23, 19], [10, 17], [29, 18], [35, 26], [26, 9], [31, 9], [29, 27], [10, 0], [36, 16]]
7	[[12, 15], [24, 15], [11, 11], [22, 7], [11, 6], [0, 8], [14, 34], [30, 31], [17, 8], [5, 26], [16, 22], [34, 26], [19, 5], [23, 7], [25, 10], [19, 22], [31, 21], [7, 22], [37, 16], [29, 17], [3, 34], [29, 4], [29, 28], [17, 6], [10, 19], [15, 39], [30, 39], [16, 36], [27, 10], [24, 35]]	[[29, 31], [24, 7], [29, 5], [3, 33], [29, 3], [3, 26], [23, 15], [5, 32], [30, 38], [28, 17], [28, 4], [4, 35], [39, 17], [11, 7], [7, 21], [11, 4], [23, 6], [27, 3], [16, 4], [28, 28], [15, 34], [11, 19], [8, 19], [5, 25], [18, 3], [18, 38], [23, 14], [6, 26], [28, 12], [3, 38], [39, 9], [31, 22], [32, 4], [27, 11], [17, 24], [6, 18], [38, 16], [12, 14], [7, 24], [39, 5], [0, 7], [30, 2], [39, 14], [38, 19], [10, 2], [28, 10], [37, 15], [8, 7], [31, 31], [30, 4], [30, 32], [6, 37], [38, 37], [13, 0], [29, 16], [17, 22], [30, 30], [3, 0], [31, 39], [13, 15], [9, 5], [5, 7], [4, 23], [2, 34], [37, 17], [19, 21], [18, 10], [20, 22], [19, 23], [24, 34], [29, 13], [36, 28], [22, 36], [3, 32], [25, 5], [31, 20], [4, 34], [14, 33], [9, 25], [4, 15], [31, 13], [1, 11], [19, 4], [16, 37], [37, 10], [12, 6], [36, 12], [32, 37], [15, 21], [17, 5], [4, 2], [34, 27], [25, 7], [0, 9], [39, 2], [32, 24], [33, 21], [4, 26], [12, 16], [36, 15], [9, 22], [18, 22], [12, 7], [35, 9], [1, 8], [3, 10], [29, 29], [3, 24], [30, 28], [13, 34], [22, 35], [23, 18], [10, 18], [29, 18], [35, 26], [26, 9], [31, 8], [29, 27], [9, 0], [36, 16]]
8	[[11, 15], [24, 14], [10, 11], [22, 6], [10, 6], [0, 8], [14, 35], [30, 31], [17, 9], [5, 27], [16, 23], [33, 26], [19, 6], [22, 7], [26, 10], [19, 22], [30, 21], [6, 22], [37, 16], [30, 17], [3, 35], [29, 4], [29, 28], [17, 7], [10, 20], [15, 38], [29, 39], [16, 35], [27, 9], [24, 36]]	[[29, 31], [23, 7], [29, 5], [3, 34], [29, 3], [3, 27], [24, 15], [5, 31], [29, 38], [29, 17], [28, 4], [4, 35], [39, 18], [10, 7], [6, 21], [11, 5], [23, 6], [26, 3], [16, 4], [28, 28], [16, 34], [11, 20], [9, 19], [5, 26], [18, 3], [17, 38], [23, 14], [6, 27], [28, 12], [2, 38], [39, 10], [31, 22], [32, 5], [27, 10], [17, 23], [7, 18], [38, 16], [11, 14], [7, 23], [38, 5], [0, 7], [31, 2], [39, 15], [38, 20], [10, 3], [28, 9], [37, 15], [9, 7], [31, 31], [30, 4], [30, 32], [5, 37], [37, 37], [14, 0], [30, 16], [16, 22], [30, 30], [4, 0], [30, 39], [12, 15], [9, 5], [6, 7], [5, 23], [2, 35], [37, 17], [19, 21], [17, 10], [20, 22], [19, 23], [24, 35], [29, 14], [35, 28], [23, 36], [2, 32], [24, 5], [30, 20], [4, 34], [14, 34], [8, 25], [5, 15], [31, 12], [2, 11], [19, 5], [15, 37], [36, 10], [11, 6], [36, 13], [31, 37], [15, 22], [17, 6], [5, 2], [33, 27], [26, 7], [0, 9], [39, 3], [32, 25], [32, 21], [4, 27], [11, 16], [36, 15], [8, 22], [18, 22], [12, 8], [35, 10], [1, 8], [4, 10], [29, 29], [3, 24], [30, 28], [13, 35], [23, 35], [23, 17], [10, 19], [30, 18], [35, 26], [26, 9], [30, 8], [29, 27], [8, 0], [36, 16]]
9	[[10, 15], [25, 14], [10, 12], [22, 5], [10, 5], [0, 8], [15, 35], [30, 31], [16, 9], [5, 28], [16, 24], [32, 26], [20, 6], [21, 7], [25, 10], [19, 22], [31, 21], [6, 23], [37, 16], [31, 17], [3, 36], [29, 4], [29, 28], [16, 7], [10, 21], [14, 38], [28, 39], [17, 35], [27, 8], [24, 37]]	[[29, 31], [22, 7], [29, 5], [3, 35], [29, 3], [3, 28], [25, 15], [5, 30], [28, 38], [29, 17], [28, 4], [4, 36], [39, 19], [10, 7], [6, 22], [11, 5], [22, 6], [26, 4], [16, 5], [28, 28], [17, 34], [11, 21], [9, 20], [5, 27], [18, 4], [17, 37], [23, 14], [6, 28], [27, 12], [2, 37], [39, 10], [31, 22], [31, 5], [27, 10], [17, 24], [8, 18], [38, 16], [10, 14], [7, 23], [37, 5], [0, 7], [32, 2], [39, 16], [38, 21], [11, 3], [28, 8], [37, 15], [8, 7], [31, 31], [30, 4], [30, 32], [4, 37], [36, 37], [14, 1], [31, 16], [16, 23], [30, 30], [3, 0], [29, 39], [11, 15], [9, 5], [6, 8], [5, 23], [2, 36], [37, 17], [19, 21], [16, 10], [20, 22], [19, 23], [24, 36], [28, 14], [34, 28], [23, 37], [2, 31], [23, 5], [30, 20], [5, 34], [15, 34], [7, 25], [6, 15], [31, 13], [3, 11], [19, 6], [15, 36], [36, 11], [10, 6], [35, 13], [30, 37], [15, 23], [17, 7], [6, 2], [32, 27], [27, 7], [0, 9], [39, 4], [32, 25], [32, 21], [4, 28], [10, 16], [35, 15], [9, 22], [18, 22], [13, 8], [35, 11], [1, 8], [5, 10], [29, 29], [3, 25], [30, 28], [14, 35], [23, 34], [23, 16], [10, 19], [31, 18], [34, 26], [26, 8], [29, 8], [29, 27], [8, 1], [36, 16]]
10	[[9, 15], [26, 14], [11, 12], [22, 4], [10, 4], [0, 8], [16, 35], [30, 31], [17, 9], [5, 29], [16, 25], [31, 26], [20, 5], [21, 6], [24, 10], [19, 22], [31, 20], [6, 24], [37, 16], [30, 17], [3, 37], [29, 4], [29, 28], [15, 7], [10, 20], [14, 37], [27, 39], [18, 35], [27, 9], [25, 37]]	[[29, 31], [21, 7], [29, 5], [3, 36], [29, 3], [3, 29], [25, 14], [5, 30], [27, 38], [29, 17], [28, 4], [4, 36], [39, 20], [11, 7], [6, 23], [11, 4], [22, 6], [25, 4], [16, 6], [28, 28], [18, 34], [11, 21], [9, 20], [5, 28], [19, 4], [16, 37], [23, 13], [6, 29], [27, 13], [2, 37], [39, 11], [31, 22], [31, 6], [27, 10], [17, 25], [8, 17], [38, 16], [10, 14], [7, 24], [37, 6], [0, 7], [33, 2], [39, 17], [38, 22], [11, 3], [28, 9], [37, 15], [8, 6], [31, 31], [30, 4], [30, 32], [4, 37], [35, 37], [13, 1], [30, 16], [16, 24], [30, 30], [2, 0], [28, 39], [10, 15], [9, 4], [7, 8], [5, 23], [2, 36], [37, 17], [19, 21], [17, 10], [20, 22], [19, 23], [25, 36], [27, 14], [33, 28], [24, 37], [3, 31], [23, 4], [30, 20], [5, 35], [16, 34], [7, 25], [6, 16], [30, 13], [3, 12], [20, 6], [14, 36], [37, 11], [10, 5], [34, 13], [29, 37], [15, 24], [17, 8], [7, 2], [32, 26], [27, 7], [0, 9], [39, 5], [31, 25], [32, 20], [4, 29], [9, 16], [34, 15], [10, 22], [18, 22], [14, 8], [34, 11], [1, 8], [5, 11], [29, 29], [4, 25], [30, 28], [15, 35], [23, 35], [24, 16], [10, 19], [31, 17], [33, 26], [26, 9], [29, 9], [29, 27], [8, 2], [36, 16]]
11	[[9, 14], [26, 13], [11, 13], [21, 4], [10, 3], [0, 8], [17, 35], [30, 31], [16, 9], [5, 29], [15, 25], [31, 27], [21, 5], [21, 6], [25, 10], [19, 22], [31, 19], [6, 25], [37, 16], [30, 18], [3, 38], [29, 4], [29, 28], [16, 7], [10, 21], [13, 37], [26, 39], [18, 36], [27, 8], [25, 38]]	[[29, 31], [21, 7], [29, 5], [3, 37], [29, 3], [3, 28], [25, 13], [5, 30], [26, 38], [29, 18], [28, 4], [4, 36], [39, 21], [11, 6], [6, 24], [10, 4], [22, 6], [25, 4], [16, 6], [28, 28], [18, 35], [11, 21], [9, 21], [5, 28], [20, 4], [17, 37], [24, 13], [6, 29], [27, 13], [2, 38], [39, 12], [31, 23], [30, 6], [27, 9], [17, 25], [8, 17], [38, 16], [10, 14], [7, 24], [38, 6], [0, 7], [34, 2], [39, 18], [38, 23], [11, 3], [28, 8], [37, 15], [8, 5], [31, 31], [30, 4], [30, 32], [4, 38], [34, 37], [12, 1], [30, 16], [16, 25], [30, 30], [3, 0], [27, 39], [9, 15], [9, 3], [7, 7], [5, 24], [1, 36], [37, 17], [19, 21], [17, 9], [20, 22], [19, 23], [25, 37], [27, 14], [32, 28], [24, 38], [2, 31], [22, 4], [30, 19], [5, 35], [17, 34], [7, 25], [7, 16], [30, 14], [4, 12], [20, 6], [13, 36], [37, 12], [10, 5], [33, 13], [28, 37], [15, 24], [17, 7], [7, 1], [32, 27], [27, 7], [0, 9], [39, 6], [31, 26], [32, 19], [4, 29], [9, 16], [33, 15], [10, 22], [18, 22], [15, 8], [35, 11], [1, 8], [6, 11], [29, 29], [5, 25], [30, 28], [16, 35], [23, 36], [24, 15], [10, 20], [31, 18], [33, 25], [26, 8], [29, 10], [29, 27], [9, 2], [36, 16]]
