timesteps	evaders	pursuers	evader_capture_status
0	[[26, 18], [10, 13], [2, 0], [5, 11], [6, 22], [14, 36], [15, 18], [15, 36], [9, 22], [6, 36], [30, 18], [34, 18], [19, 13], [36, 30], [14, 32], [3, 4], [19, 1], [30, 29], [0, 26], [30, 37], [30, 23], [17, 28], [32, 24], [39, 15], [20, 38], [21, 31], [19, 8], [22, 8], [0, 4], [23, 29]]	[[5, 13], [29, 2], [11, 33], [27, 29], [28, 12], [21, 37], [18, 37], [17, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1	[[26, 17], [11, 13], [3, 0], [5, 10], [5, 22], [13, 36], [15, 17], [15, 35], [8, 22], [5, 36], [30, 19], [35, 18], [19, 14], [35, 30], [14, 33], [3, 5], [19, 2], [31, 29], [0, 25], [29, 37], [29, 23], [16, 28], [33, 24], [38, 15], [19, 38], [20, 31], [18, 8], [22, 7], [0, 3], [23, 28]]	[[5, 12], [29, 3], [12, 33], [28, 29], [29, 12], [20, 37], [17, 37], [16, 19]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2	[[26, 18], [12, 13], [3, 1], [5, 9], [4, 22], [12, 36], [15, 16], [16, 35], [9, 22], [4, 36], [30, 18], [34, 18], [19, 13], [34, 30], [15, 33], [2, 5], [19, 1], [32, 29], [0, 24], [29, 36], [28, 23], [16, 28], [34, 24], [38, 16], [19, 39], [20, 32], [18, 9], [22, 8], [0, 2], [22, 28]]	[[5, 11], [29, 4], [13, 33], [29, 29], [29, 11], [19, 37], [17, 36], [16, 18]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3	[[25, 18], [11, 13], [4, 1], [5, 8], [4, 21], [11, 36], [14, 16], [15, 35], [10, 22], [4, 35], [30, 17], [34, 19], [19, 13], [35, 30], [15, 32], [3, 5], [19, 2], [33, 29], [0, 23], [29, 35], [29, 23], [17, 28], [35, 24], [37, 16], [20, 39], [20, 31], [18, 8], [23, 8], [1, 2], [22, 29]]	[[5, 10], [29, 5], [14, 33], [30, 29], [29, 10], [19, 38], [16, 36], [16, 17]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4	[[25, 19], [10, 13], [4, 2], [5, 7], [5, 21], [10, 36], [13, 16], [15, 34], [10, 23], [4, 34], [30, 16], [34, 18], [19, 14], [36, 30], [15, 31], [2, 5], [20, 2], [34, 29], [0, 22], [29, 34], [30, 23], [17, 27], [36, 24], [37, 17], [21, 39], [20, 32], [18, 8], [23, 7], [1, 1], [22, 30]]	[[5, 9], [29, 4], [14, 32], [31, 29], [28, 10], [20, 38], [16, 35], [16, 16]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
5	[[24, 19], [10, 13], [5, 2], [5, 6], [5, 20], [10, 37], [12, 16], [14, 34], [10, 22], [4, 35], [30, 15], [34, 19], [19, 13], [37, 30], [15, 30], [1, 5], [20, 1], [34, 28], [0, 23], [30, 34], [29, 23], [18, 27], [36, 25], [38, 17], [22, 39], [21, 32], [18, 7], [23, 8], [1, 2], [22, 29]]	[[5, 8], [29, 5], [15, 32], [32, 29], [27, 10], [21, 38], [16, 34], [16, 15]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
6	[[23, 19], [11, 13], [5, 1], [5, 5], [4, 20], [9, 37], [11, 16], [13, 34], [10, 23], [4, 34], [31, 15], [33, 19], [19, 12], [37, 31], [15, 29], [1, 4], [20, 2], [34, 29], [0, 24], [30, 35], [29, 22], [19, 27], [36, 24], [38, 18], [23, 39], [22, 32], [18, 6], [23, 7], [2, 2], [23, 29]]	[[5, 7], [29, 4], [15, 31], [33, 29], [26, 10], [22, 38], [16, 33], [17, 15]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
7	[[23, 18], [11, 12], [6, 1], [5, 4], [3, 20], [9, 38], [10, 16], [12, 34], [9, 23], [5, 34], [31, 16], [32, 19], [20, 12], [37, 32], [15, 28], [0, 4], [20, 3], [35, 29], [0, 23], [30, 34], [28, 22], [19, 28], [35, 24], [38, 17], [24, 39], [21, 32], [18, 5], [23, 6], [3, 2], [23, 28]]	[[5, 6], [29, 5], [15, 30], [34, 29], [27, 10], [23, 38], [15, 33], [17, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
8	[[23, 17], [11, 11], [6, 2], [5, 3], [3, 19], [8, 38], [10, 17], [12, 35], [10, 23], [4, 34], [30, 16], [33, 19], [21, 12], [37, 33], [15, 27], [0, 3], [20, 2], [35, 30], [0, 24], [30, 35], [28, 21], [19, 27], [35, 25], [38, 18], [20, 32], [18, 6], [24, 6], [2, 2], [24, 28], [24, 38]]	[[5, 5], [28, 5], [15, 29], [35, 29], [26, 10], [24, 38], [14, 33], [18, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
9	[[23, 16], [12, 11], [7, 2], [5, 2], [2, 19], [8, 37], [10, 18], [11, 35], [10, 22], [3, 34], [31, 16], [33, 18], [22, 12], [37, 34], [15, 26], [0, 2], [21, 2], [35, 31], [0, 23], [30, 34], [27, 21], [19, 26], [34, 25], [38, 19], [20, 33], [19, 6], [23, 6], [1, 2], [24, 27], [24, 38]]	[[5, 4], [27, 5], [15, 28], [35, 30], [25, 10], [23, 38], [13, 33], [19, 14]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
