timesteps	evaders	pursuers
1	[[20, 10]]	[[13, 5], [22, 4], [1, 6], [10, 11]]
2	[[21, 11]]	[[14, 6], [22, 5], [2, 7], [10, 11]]
3	[[21, 12]]	[[15, 7], [22, 6], [3, 6], [11, 12]]
4	[[22, 13]]	[[16, 8], [22, 7], [4, 7], [12, 13]]
5	[[22, 14]]	[[16, 8], [23, 8], [5, 8], [13, 14]]
6	[[23, 15]]	[[17, 9], [23, 9], [6, 9], [14, 15]]
7	[[22, 16]]	[[18, 10], [24, 10], [7, 10], [15, 16]]
8	[[22, 17]]	[[19, 11], [23, 11], [8, 11], [16, 17]]
9	[[21, 18]]	[[20, 12], [23, 12], [9, 12], [17, 18]]
10	[[21, 19]]	[[21, 13], [22, 13], [10, 13], [17, 18]]
11	[[20, 20]]	[[21, 13], [22, 14], [11, 14], [18, 19]]
12	[[20, 21]]	[[20, 14], [21, 15], [12, 15], [19, 20]]
13	[[19, 21]]	[[20, 15], [21, 16], [13, 16], [19, 20]]
14	[[18, 21]]	[[19, 16], [21, 17], [14, 17], [19, 20]]
15	[[17, 22]]	[[18, 17], [20, 18], [15, 18], [19, 20]]
16	[[16, 22]]	[[17, 18], [19, 19], [15, 19], [18, 21]]
17	[[15, 23]]	[[16, 19], [18, 20], [15, 20], [17, 22]]
18	[[14, 22]]	[[16, 19], [17, 21], [14, 21], [16, 23]]
19	[[13, 22]]	[[15, 20], [16, 22], [14, 21], [15, 24]]
20	[[14, 22]]	[[15, 20], [15, 22], [13, 21], [15, 24]]
21	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
22	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
23	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
24	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
25	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
26	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
27	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
28	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
29	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
30	[[14, 22]]	[[14, 21], [15, 22], [13, 22], [14, 23]]
