timesteps	evaders	pursuers
1	[[20, 10]]	[[13, 5], [22, 4], [1, 6], [10, 11]]
2	[[21, 11]]	[[14, 6], [22, 5], [2, 7], [10, 11]]
3	[[21, 12]]	[[15, 7], [22, 6], [3, 6], [11, 12]]
4	[[22, 13]]	[[16, 8], [22, 7], [4, 7], [12, 13]]
5	[[22, 14]]	[[16, 8], [23, 8], [5, 8], [13, 14]]
6	[[23, 15]]	[[17, 9], [23, 9], [6, 9], [14, 15]]
7	[[22, 16]]	[[18, 10], [24, 10], [7, 10], [15, 16]]
8	[[22, 17]]	[[19, 11], [23, 11], [8, 11], [16, 17]]
9	[[21, 18]]	[[20, 12], [23, 12], [9, 12], [17, 18]]
10	[[21, 18]]	[[21, 13], [23, 13], [10, 13], [17, 18]]
11	[[21, 19]]	[[21, 14], [23, 14], [11, 14], [18, 19]]
12	[[20, 20]]	[[21, 15], [23, 15], [12, 15], [18, 20]]
13	[[19, 21]]	[[21, 16], [23, 16], [13, 16], [18, 20]]
14	[[18, 21]]	[[20, 17], [23, 17], [14, 17], [17, 21]]
15	[[18, 22]]	[[20, 18], [22, 18], [15, 18], [17, 21]]
16	[[17, 22]]	[[19, 19], [21, 19], [16, 19], [16, 22]]
17	[[17, 21]]	[[19, 20], [21, 19], [16, 20], [16, 22]]
18	[[18, 21]]	[[19, 21], [20, 18], [15, 20], [17, 23]]
19	[[19, 21]]	[[20, 22], [20, 19], [15, 20], [17, 23]]
20	[[19, 21]]	[[20, 22], [20, 19], [15, 20], [17, 22]]
21	[[20, 20]]	[[20, 23], [20, 19], [15, 20], [17, 22]]
22	[[21, 19]]	[[21, 22], [20, 18], [15, 20], [18, 21]]
23	[[21, 18]]	[[22, 21], [21, 17], [16, 19], [19, 20]]
24	[[22, 17]]	[[22, 20], [21, 16], [17, 18], [19, 19]]
25	[[22, 16]]	[[23, 19], [22, 15], [18, 17], [20, 18]]
26	[[23, 15]]	[[24, 18], [22, 14], [19, 16], [20, 18]]
27	[[22, 14]]	[[25, 17], [23, 13], [20, 15], [21, 17]]
28	[[22, 13]]	[[24, 16], [22, 12], [20, 14], [22, 16]]
29	[[21, 12]]	[[24, 15], [22, 11], [20, 13], [22, 15]]
30	[[21, 12]]	[[24, 15], [21, 10], [19, 13], [21, 14]]
31	[[21, 11]]	[[23, 14], [21, 10], [19, 12], [21, 14]]
32	[[20, 10]]	[[24, 13], [21, 9], [19, 11], [20, 13]]
33	[[19, 9]]	[[23, 12], [20, 8], [18, 10], [20, 12]]
34	[[18, 9]]	[[22, 11], [19, 7], [17, 9], [19, 11]]
35	[[17, 8]]	[[21, 10], [18, 7], [16, 9], [18, 11]]
36	[[16, 8]]	[[20, 9], [17, 6], [15, 8], [17, 10]]
37	[[15, 7]]	[[19, 8], [17, 6], [14, 7], [16, 10]]
38	[[14, 8]]	[[18, 8], [16, 5], [13, 7], [15, 9]]
39	[[13, 8]]	[[17, 8], [15, 6], [12, 8], [14, 10]]
40	[[13, 8]]	[[16, 8], [15, 6], [11, 8], [13, 10]]
41	[[12, 9]]	[[15, 8], [14, 6], [11, 8], [13, 10]]
42	[[11, 9]]	[[15, 8], [13, 7], [10, 9], [12, 11]]
43	[[10, 10]]	[[14, 9], [12, 7], [9, 9], [11, 11]]
44	[[9, 11]]	[[13, 9], [11, 8], [8, 10], [10, 12]]
45	[[9, 12]]	[[12, 10], [10, 9], [7, 11], [9, 13]]
46	[[8, 13]]	[[11, 11], [9, 10], [7, 12], [9, 14]]
47	[[8, 14]]	[[10, 12], [8, 10], [6, 13], [8, 15]]
48	[[7, 15]]	[[10, 13], [8, 11], [6, 14], [8, 16]]
49	[[8, 16]]	[[9, 13], [7, 12], [5, 15], [7, 17]]
50	[[8, 16]]	[[10, 14], [8, 13], [5, 15], [7, 18]]
51	[[8, 17]]	[[10, 15], [8, 14], [6, 16], [7, 18]]
52	[[9, 18]]	[[10, 16], [8, 15], [6, 16], [8, 19]]
53	[[9, 19]]	[[11, 17], [9, 16], [6, 16], [9, 20]]
