timesteps	evaders	pursuers
1	[[20, 10]]	[[13, 5], [22, 4], [1, 6], [10, 11]]
2	[[21, 11]]	[[14, 6], [22, 5], [2, 7], [10, 11]]
3	[[22, 12]]	[[15, 7], [22, 6], [3, 6], [11, 12]]
4	[[23, 13]]	[[16, 8], [23, 7], [3, 7], [12, 13]]
5	[[24, 14]]	[[17, 9], [24, 8], [4, 8], [13, 14]]
6	[[25, 15]]	[[18, 10], [24, 9], [5, 7], [13, 15]]
7	[[26, 16]]	[[19, 11], [25, 10], [6, 8], [14, 16]]
8	[[27, 17]]	[[20, 12], [26, 11], [7, 9], [15, 17]]
9	[[28, 18]]	[[21, 13], [27, 12], [8, 10], [16, 18]]
10	[[29, 19]]	[[22, 14], [28, 13], [9, 11], [17, 19]]
11	[[30, 20]]	[[23, 15], [29, 14], [10, 12], [18, 20]]
12	[[29, 20]]	[[24, 16], [30, 15], [11, 13], [18, 21]]
13	[[28, 20]]	[[25, 17], [30, 16], [12, 14], [18, 21]]
14	[[27, 20]]	[[26, 18], [29, 17], [13, 15], [18, 21]]
15	[[26, 20]]	[[26, 19], [28, 18], [14, 16], [19, 20]]
16	[[25, 20]]	[[26, 19], [28, 18], [15, 17], [19, 20]]
17	[[24, 20]]	[[26, 20], [27, 19], [16, 18], [20, 21]]
18	[[23, 20]]	[[25, 21], [26, 19], [17, 19], [20, 21]]
19	[[22, 20]]	[[25, 21], [25, 18], [18, 18], [20, 21]]
20	[[21, 20]]	[[24, 21], [24, 19], [19, 19], [20, 21]]
21	[[20, 20]]	[[23, 21], [23, 19], [19, 19], [20, 21]]
22	[[20, 19]]	[[22, 22], [22, 19], [19, 20], [20, 21]]
23	[[20, 18]]	[[22, 21], [21, 19], [19, 19], [19, 20]]
24	[[20, 17]]	[[21, 20], [21, 19], [19, 18], [20, 19]]
25	[[19, 17]]	[[21, 20], [21, 19], [19, 18], [20, 18]]
26	[[18, 17]]	[[21, 20], [21, 18], [19, 18], [20, 17]]
27	[[17, 17]]	[[20, 19], [21, 18], [19, 18], [19, 16]]
28	[[16, 17]]	[[20, 19], [20, 17], [18, 17], [18, 15]]
29	[[15, 17]]	[[19, 18], [20, 17], [17, 18], [17, 16]]
30	[[14, 17]]	[[18, 17], [19, 18], [16, 17], [16, 16]]
31	[[13, 17]]	[[17, 17], [18, 19], [15, 18], [15, 16]]
32	[[12, 17]]	[[16, 16], [17, 19], [14, 17], [14, 16]]
33	[[11, 17]]	[[15, 17], [16, 19], [13, 18], [13, 16]]
34	[[10, 17]]	[[14, 17], [15, 18], [12, 18], [12, 16]]
35	[[9, 17]]	[[13, 17], [14, 17], [11, 17], [11, 16]]
36	[[8, 17]]	[[12, 18], [13, 17], [11, 17], [10, 16]]
37	[[7, 17]]	[[11, 18], [12, 18], [10, 17], [9, 16]]
38	[[6, 17]]	[[10, 18], [11, 17], [10, 17], [8, 16]]
39	[[5, 17]]	[[9, 19], [11, 17], [9, 17], [7, 16]]
40	[[4, 17]]	[[8, 18], [10, 16], [9, 17], [6, 16]]
41	[[3, 17]]	[[7, 18], [9, 16], [8, 17], [5, 16]]
42	[[2, 17]]	[[6, 18], [9, 16], [7, 18], [4, 16]]
43	[[1, 17]]	[[5, 18], [8, 16], [6, 19], [3, 16]]
44	[[2, 17]]	[[4, 18], [7, 16], [5, 18], [2, 16]]
45	[[3, 17]]	[[3, 18], [6, 16], [4, 17], [1, 16]]
46	[[3, 16]]	[[3, 18], [5, 17], [4, 17], [1, 16]]
47	[[4, 16]]	[[3, 18], [5, 17], [4, 17], [2, 15]]
48	[[4, 15]]	[[3, 17], [5, 16], [4, 17], [3, 15]]
49	[[4, 14]]	[[3, 17], [5, 15], [4, 16], [3, 15]]
50	[[5, 14]]	[[3, 17], [5, 15], [4, 16], [3, 15]]
51	[[6, 14]]	[[3, 17], [5, 15], [4, 16], [4, 14]]
52	[[7, 14]]	[[3, 17], [5, 15], [4, 16], [5, 13]]
53	[[8, 14]]	[[3, 17], [6, 14], [5, 15], [5, 13]]
