timesteps	evaders	pursuers
1	[[20, 10]]	[[13, 5], [22, 4], [1, 6], [10, 11]]
2	[[19, 9]]	[[14, 6], [22, 5], [2, 7], [10, 11]]
3	[[18, 9]]	[[15, 7], [21, 6], [3, 6], [11, 10]]
4	[[17, 9]]	[[16, 8], [20, 7], [3, 6], [12, 9]]
5	[[17, 10]]	[[16, 8], [19, 8], [3, 6], [13, 10]]
6	[[16, 10]]	[[16, 9], [18, 9], [4, 7], [14, 11]]
7	[[15, 10]]	[[16, 9], [19, 10], [5, 8], [14, 11]]
8	[[14, 9]]	[[16, 9], [18, 11], [6, 9], [14, 11]]
9	[[13, 9]]	[[15, 8], [17, 10], [6, 9], [14, 10]]
10	[[13, 9]]	[[14, 8], [16, 10], [7, 8], [13, 10]]
11	[[12, 9]]	[[14, 8], [15, 10], [8, 7], [12, 10]]
12	[[11, 9]]	[[13, 8], [14, 9], [9, 8], [12, 10]]
13	[[12, 9]]	[[12, 8], [13, 9], [10, 9], [11, 11]]
14	[[11, 9]]	[[12, 8], [13, 9], [11, 8], [12, 10]]
15	[[10, 9]]	[[12, 8], [12, 9], [11, 8], [11, 10]]
16	[[11, 9]]	[[12, 8], [12, 9], [11, 8], [11, 10]]
17	[[11, 10]]	[[12, 8], [12, 9], [11, 8], [10, 10]]
18	[[12, 11]]	[[12, 8], [12, 9], [11, 8], [10, 11]]
19	[[13, 12]]	[[12, 8], [13, 10], [11, 8], [11, 12]]
20	[[13, 12]]	[[13, 9], [14, 11], [12, 9], [12, 13]]
21	[[13, 11]]	[[13, 10], [14, 12], [12, 9], [12, 13]]
22	[[12, 11]]	[[13, 10], [14, 11], [12, 10], [13, 12]]
23	[[11, 11]]	[[13, 10], [14, 11], [12, 10], [12, 12]]
24	[[10, 11]]	[[13, 10], [13, 12], [11, 10], [12, 12]]
25	[[9, 12]]	[[12, 11], [13, 12], [11, 10], [12, 12]]
26	[[9, 11]]	[[12, 11], [13, 12], [10, 10], [11, 12]]
27	[[10, 11]]	[[11, 10], [12, 11], [10, 10], [10, 12]]
28	[[10, 12]]	[[11, 10], [11, 11], [10, 10], [9, 12]]
29	[[11, 13]]	[[11, 10], [11, 11], [9, 11], [9, 12]]
30	[[11, 13]]	[[11, 10], [12, 12], [9, 11], [10, 13]]
31	[[11, 14]]	[[11, 11], [12, 13], [10, 12], [10, 14]]
32	[[11, 15]]	[[11, 12], [12, 14], [10, 12], [10, 15]]
33	[[11, 16]]	[[11, 13], [12, 15], [10, 13], [10, 15]]
34	[[11, 15]]	[[11, 14], [12, 16], [10, 13], [9, 16]]
35	[[10, 15]]	[[11, 14], [12, 15], [10, 14], [9, 16]]
36	[[10, 16]]	[[11, 15], [12, 15], [10, 14], [9, 16]]
37	[[10, 15]]	[[11, 16], [11, 15], [9, 15], [9, 16]]
38	[[10, 14]]	[[11, 16], [11, 15], [9, 15], [9, 16]]
39	[[10, 15]]	[[11, 16], [11, 15], [9, 15], [9, 16]]
40	[[10, 15]]	[[11, 16], [11, 14], [8, 14], [9, 16]]
41	[[10, 14]]	[[11, 16], [11, 14], [8, 14], [9, 16]]
42	[[9, 14]]	[[12, 15], [11, 14], [9, 13], [9, 15]]
43	[[8, 14]]	[[12, 15], [11, 13], [9, 13], [9, 15]]
44	[[7, 13]]	[[11, 14], [11, 13], [9, 13], [9, 15]]
45	[[6, 14]]	[[11, 14], [10, 12], [8, 12], [8, 14]]
46	[[7, 14]]	[[10, 15], [9, 13], [7, 13], [7, 15]]
47	[[8, 14]]	[[9, 15], [8, 12], [7, 13], [7, 15]]
48	[[8, 15]]	[[9, 14], [8, 13], [7, 14], [8, 16]]
49	[[8, 14]]	[[9, 15], [9, 14], [7, 15], [8, 16]]
50	[[8, 14]]	[[9, 15], [9, 14], [6, 14], [7, 15]]
51	[[7, 14]]	[[9, 15], [10, 13], [6, 13], [7, 15]]
52	[[7, 13]]	[[8, 14], [9, 13], [6, 14], [7, 15]]
53	[[7, 12]]	[[8, 14], [8, 12], [6, 13], [6, 14]]
54	[[7, 11]]	[[7, 13], [8, 11], [6, 12], [6, 14]]
55	[[6, 11]]	[[8, 12], [8, 11], [6, 12], [7, 13]]
56	[[5, 11]]	[[8, 12], [7, 10], [6, 12], [7, 13]]
57	[[4, 10]]	[[7, 11], [6, 10], [6, 12], [7, 13]]
58	[[3, 11]]	[[7, 11], [5, 9], [5, 11], [6, 12]]
59	[[3, 12]]	[[6, 10], [4, 10], [4, 12], [5, 12]]
60	[[3, 12]]	[[5, 11], [3, 11], [4, 12], [5, 12]]
61	[[3, 13]]	[[4, 10], [3, 11], [4, 12], [5, 12]]
62	[[3, 12]]	[[3, 10], [2, 11], [4, 12], [5, 12]]
63	[[3, 13]]	[[3, 10], [2, 12], [4, 12], [5, 12]]
64	[[4, 13]]	[[3, 11], [2, 12], [4, 12], [5, 12]]
65	[[3, 13]]	[[3, 11], [2, 13], [4, 12], [5, 13]]
66	[[2, 13]]	[[3, 11], [2, 14], [3, 12], [4, 13]]
67	[[1, 13]]	[[3, 11], [1, 14], [2, 12], [3, 14]]
68	[[2, 12]]	[[3, 11], [1, 14], [1, 11], [2, 15]]
69	[[2, 13]]	[[3, 12], [1, 13], [1, 11], [2, 14]]
70	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
71	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
72	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
73	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
74	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
75	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
76	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
77	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
78	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
79	[[2, 13]]	[[3, 13], [1, 13], [2, 12], [2, 14]]
