timesteps	evaders	pursuers
1	[[15, 15]]	[[13, 13], [22, 17], [1, 13], [10, 21], [5, 7], [4, 26], [6, 2], [11, 20]]
2	[[16, 14]]	[[14, 14], [21, 16], [2, 14], [10, 21], [6, 8], [5, 25], [7, 3], [12, 19]]
3	[[17, 13]]	[[15, 13], [20, 15], [3, 15], [11, 20], [7, 9], [6, 24], [8, 4], [13, 18]]
4	[[18, 12]]	[[16, 12], [19, 14], [4, 14], [11, 19], [8, 10], [7, 23], [9, 5], [14, 17]]
5	[[19, 11]]	[[17, 11], [19, 13], [5, 13], [12, 18], [9, 11], [8, 22], [10, 4], [15, 16]]
6	[[20, 10]]	[[18, 10], [20, 12], [5, 12], [13, 17], [10, 10], [9, 21], [11, 3], [16, 15]]
7	[[21, 9]]	[[19, 9], [21, 11], [6, 11], [14, 16], [11, 9], [10, 20], [12, 4], [17, 14]]
8	[[22, 8]]	[[20, 8], [22, 10], [7, 10], [15, 15], [12, 8], [11, 19], [13, 5], [18, 13]]
9	[[23, 7]]	[[21, 7], [23, 9], [8, 9], [16, 14], [13, 7], [12, 18], [14, 6], [19, 12]]
10	[[23, 7]]	[[22, 6], [24, 8], [9, 8], [17, 13], [13, 7], [13, 17], [14, 6], [20, 11]]
11	[[23, 6]]	[[22, 5], [24, 7], [10, 7], [18, 12], [13, 7], [14, 16], [15, 5], [21, 10]]
12	[[24, 5]]	[[23, 4], [24, 7], [11, 6], [19, 11], [14, 6], [15, 15], [16, 4], [22, 9]]
13	[[25, 4]]	[[23, 4], [25, 6], [12, 5], [20, 10], [15, 5], [16, 14], [17, 3], [23, 8]]
14	[[26, 3]]	[[24, 3], [26, 5], [13, 4], [21, 9], [16, 4], [17, 13], [18, 2], [24, 7]]
15	[[27, 2]]	[[25, 2], [27, 4], [14, 3], [22, 8], [17, 3], [18, 12], [19, 1], [25, 6]]
16	[[28, 1]]	[[26, 1], [28, 3], [15, 2], [22, 7], [18, 2], [19, 11], [19, 1], [26, 5]]
17	[[28, 2]]	[[26, 1], [29, 2], [15, 1], [23, 6], [18, 2], [20, 10], [19, 1], [27, 4]]
18	[[27, 2]]	[[26, 1], [29, 2], [16, 2], [24, 5], [18, 2], [21, 9], [19, 1], [28, 3]]
19	[[27, 3]]	[[26, 1], [29, 1], [17, 1], [25, 4], [19, 3], [22, 8], [20, 2], [28, 3]]
20	[[27, 3]]	[[27, 1], [29, 2], [18, 2], [25, 4], [19, 3], [23, 7], [21, 1], [28, 3]]
21	[[27, 4]]	[[28, 2], [29, 2], [18, 2], [26, 5], [20, 2], [24, 6], [22, 2], [29, 4]]
22	[[27, 5]]	[[28, 3], [29, 2], [19, 3], [27, 6], [21, 3], [25, 5], [22, 2], [28, 5]]
23	[[26, 5]]	[[29, 4], [29, 3], [20, 4], [27, 6], [22, 4], [26, 6], [23, 3], [28, 6]]
24	[[25, 5]]	[[28, 4], [29, 3], [21, 5], [27, 6], [23, 5], [26, 6], [24, 4], [28, 6]]
25	[[25, 6]]	[[27, 4], [28, 4], [22, 6], [27, 6], [23, 5], [25, 7], [24, 4], [28, 6]]
26	[[26, 6]]	[[26, 5], [27, 4], [23, 7], [26, 7], [24, 6], [25, 7], [24, 5], [27, 6]]
27	[[25, 6]]	[[26, 5], [28, 5], [23, 6], [26, 7], [24, 6], [25, 7], [24, 5], [27, 7]]
28	[[25, 5]]	[[26, 5], [27, 5], [23, 6], [26, 6], [24, 6], [25, 7], [24, 5], [26, 7]]
29	[[25, 4]]	[[26, 5], [27, 5], [23, 5], [26, 6], [24, 6], [25, 6], [24, 5], [25, 7]]
30	[[25, 4]]	[[26, 5], [27, 5], [23, 5], [26, 6], [24, 6], [25, 6], [24, 5], [25, 7]]
31	[[25, 5]]	[[26, 5], [27, 5], [23, 5], [26, 6], [24, 6], [25, 6], [24, 5], [25, 7]]
32	[[24, 5]]	[[26, 5], [27, 4], [23, 5], [26, 6], [24, 6], [25, 6], [24, 4], [25, 7]]
33	[[24, 6]]	[[25, 4], [26, 3], [23, 5], [26, 6], [23, 6], [25, 6], [23, 4], [25, 7]]
34	[[23, 6]]	[[24, 5], [25, 4], [23, 5], [26, 6], [23, 7], [25, 6], [23, 4], [24, 7]]
35	[[23, 7]]	[[24, 5], [24, 4], [22, 5], [26, 6], [22, 7], [25, 6], [23, 4], [23, 8]]
36	[[23, 7]]	[[23, 6], [24, 4], [21, 6], [26, 6], [22, 7], [24, 7], [22, 5], [23, 8]]
37	[[22, 7]]	[[23, 6], [24, 5], [21, 6], [25, 7], [22, 8], [24, 8], [22, 5], [23, 8]]
38	[[23, 7]]	[[22, 6], [23, 6], [21, 7], [24, 7], [21, 8], [24, 8], [22, 5], [22, 8]]
