timesteps	evaders	pursuers
1	[[15, 15]]	[[13, 13], [22, 17], [1, 13], [10, 21], [5, 7], [4, 26], [6, 2], [11, 20]]
2	[[16, 14]]	[[13, 13], [21, 16], [2, 14], [11, 22], [6, 8], [5, 25], [7, 3], [12, 19]]
3	[[17, 13]]	[[13, 13], [20, 15], [3, 15], [12, 21], [7, 9], [6, 24], [8, 4], [13, 18]]
4	[[18, 12]]	[[14, 12], [19, 14], [4, 14], [13, 20], [8, 10], [7, 23], [9, 5], [14, 17]]
5	[[19, 11]]	[[15, 11], [20, 13], [4, 14], [14, 19], [9, 11], [8, 22], [10, 6], [15, 16]]
6	[[20, 10]]	[[16, 10], [21, 12], [5, 13], [15, 18], [10, 10], [9, 21], [10, 6], [16, 15]]
7	[[21, 9]]	[[17, 9], [22, 11], [6, 12], [16, 17], [11, 9], [10, 20], [11, 5], [17, 14]]
8	[[22, 8]]	[[18, 8], [23, 10], [7, 11], [17, 16], [12, 8], [11, 19], [12, 4], [18, 13]]
9	[[23, 7]]	[[19, 7], [24, 9], [8, 10], [18, 15], [13, 7], [12, 18], [13, 3], [19, 12]]
10	[[23, 7]]	[[20, 6], [24, 9], [9, 9], [19, 14], [14, 6], [13, 17], [13, 4], [20, 11]]
11	[[24, 6]]	[[21, 5], [25, 8], [10, 8], [20, 13], [15, 5], [14, 16], [14, 3], [21, 10]]
12	[[25, 5]]	[[22, 4], [26, 7], [11, 7], [21, 12], [16, 4], [15, 15], [15, 2], [22, 9]]
13	[[26, 4]]	[[23, 3], [27, 6], [12, 6], [22, 11], [17, 3], [16, 14], [16, 1], [23, 8]]
14	[[27, 3]]	[[24, 2], [28, 5], [13, 5], [23, 10], [17, 3], [17, 13], [16, 1], [24, 7]]
15	[[28, 2]]	[[25, 1], [29, 4], [14, 4], [24, 9], [18, 2], [18, 12], [16, 2], [25, 6]]
16	[[29, 1]]	[[25, 1], [30, 3], [15, 5], [25, 8], [19, 1], [19, 11], [17, 1], [26, 5]]
17	[[29, 2]]	[[25, 1], [30, 3], [16, 4], [26, 7], [20, 1], [20, 10], [17, 1], [27, 4]]
18	[[29, 3]]	[[25, 1], [30, 4], [17, 3], [27, 6], [20, 1], [21, 9], [17, 1], [27, 3]]
19	[[29, 4]]	[[25, 1], [30, 5], [18, 4], [28, 5], [21, 2], [22, 8], [18, 2], [27, 3]]
20	[[29, 4]]	[[25, 1], [30, 6], [19, 5], [27, 5], [21, 2], [23, 7], [19, 3], [28, 2]]
21	[[29, 5]]	[[26, 2], [30, 6], [19, 5], [27, 5], [22, 3], [24, 6], [19, 3], [28, 2]]
22	[[29, 6]]	[[26, 3], [30, 7], [20, 6], [27, 6], [23, 4], [24, 6], [19, 3], [29, 1]]
23	[[29, 7]]	[[27, 4], [30, 8], [21, 7], [27, 7], [23, 4], [25, 7], [20, 4], [30, 2]]
24	[[29, 8]]	[[28, 5], [30, 9], [22, 8], [27, 8], [24, 5], [25, 8], [21, 5], [30, 3]]
25	[[29, 9]]	[[29, 6], [30, 10], [23, 9], [27, 8], [25, 6], [25, 8], [22, 6], [30, 4]]
26	[[29, 10]]	[[30, 7], [30, 11], [24, 10], [27, 8], [26, 6], [25, 8], [23, 7], [30, 5]]
27	[[29, 11]]	[[30, 8], [29, 12], [25, 11], [27, 8], [26, 6], [25, 8], [24, 6], [30, 6]]
28	[[29, 12]]	[[30, 9], [29, 13], [26, 12], [27, 9], [27, 7], [25, 9], [24, 7], [30, 6]]
