timesteps	evaders	pursuers
1	[[15, 15]]	[[13, 13], [22, 17], [1, 13], [10, 21], [5, 7], [4, 26], [6, 2], [11, 20]]
2	[[15, 14]]	[[14, 14], [21, 16], [2, 14], [10, 21], [6, 8], [5, 25], [7, 3], [12, 19]]
3	[[15, 15]]	[[14, 14], [20, 16], [3, 13], [11, 20], [7, 9], [6, 24], [8, 4], [13, 18]]
4	[[14, 16]]	[[14, 14], [19, 15], [3, 13], [12, 19], [8, 10], [7, 23], [9, 5], [14, 17]]
5	[[13, 16]]	[[15, 15], [18, 16], [4, 14], [13, 18], [9, 11], [8, 22], [10, 6], [14, 17]]
6	[[13, 15]]	[[14, 15], [17, 15], [5, 15], [13, 17], [10, 12], [9, 21], [11, 7], [14, 17]]
7	[[12, 16]]	[[14, 14], [16, 14], [6, 16], [13, 17], [11, 13], [10, 20], [12, 8], [14, 16]]
8	[[12, 15]]	[[13, 14], [15, 15], [7, 17], [13, 17], [11, 14], [11, 19], [11, 9], [14, 17]]
9	[[11, 16]]	[[13, 14], [14, 14], [8, 16], [13, 16], [11, 14], [11, 18], [11, 10], [13, 17]]
10	[[11, 16]]	[[13, 14], [14, 14], [8, 16], [13, 16], [10, 15], [10, 17], [10, 11], [12, 17]]
11	[[12, 16]]	[[12, 15], [13, 14], [9, 17], [13, 17], [10, 15], [10, 17], [10, 12], [12, 17]]
12	[[11, 16]]	[[12, 15], [13, 15], [9, 17], [13, 17], [10, 15], [10, 17], [11, 13], [12, 17]]
13	[[10, 16]]	[[12, 16], [12, 15], [9, 16], [13, 17], [10, 15], [10, 17], [11, 14], [11, 17]]
14	[[11, 16]]	[[12, 16], [12, 15], [9, 16], [13, 17], [9, 15], [9, 17], [10, 15], [10, 17]]
15	[[10, 15]]	[[12, 16], [12, 15], [9, 16], [12, 17], [9, 15], [9, 17], [11, 14], [11, 18]]
16	[[10, 16]]	[[12, 16], [12, 14], [9, 16], [12, 17], [9, 14], [9, 17], [10, 14], [10, 17]]
17	[[10, 16]]	[[11, 16], [11, 14], [9, 16], [11, 17], [9, 15], [9, 17], [10, 15], [10, 17]]
18	[[10, 16]]	[[11, 16], [11, 15], [9, 16], [11, 17], [9, 15], [9, 17], [10, 15], [10, 17]]
19	[[10, 16]]	[[11, 16], [11, 15], [9, 16], [11, 17], [9, 15], [9, 17], [10, 15], [10, 17]]
20	[[10, 16]]	[[11, 16], [11, 15], [9, 16], [11, 17], [9, 15], [9, 17], [10, 15], [10, 17]]
