timesteps	evaders	pursuers
1	[[7, 12], [26, 9], [6, 19], [28, 17], [15, 18], [18, 8], [23, 9], [16, 8], [9, 10], [6, 4], [2, 5], [22, 29], [13, 29], [5, 6], [26, 1], [8, 6]]	[[]]
2	[[7, 13], [27, 9], [6, 20], [29, 18], [16, 19], [19, 9], [23, 10], [15, 7], [9, 10], [6, 4], [1, 4], [23, 29], [13, 29], [5, 7], [27, 0], [9, 6]]	[[]]
3	[[6, 14], [28, 8], [5, 21], [30, 19], [16, 19], [19, 9], [24, 11], [14, 6], [10, 11], [6, 3], [0, 3], [24, 29], [13, 29], [4, 8], [27, 0], [9, 6]]	[[]]
4	[[5, 15], [29, 7], [4, 22], [30, 20], [16, 19], [19, 9], [24, 12], [14, 6], [10, 12], [5, 2], [0, 3], [24, 29], [13, 30], [3, 9], [27, 0], [9, 7]]	[[]]
5	[[4, 16], [29, 7], [4, 22], [30, 20], [17, 20], [19, 9], [24, 13], [14, 6], [11, 13], [5, 1], [0, 3], [25, 30], [13, 30], [3, 9], [27, 0], [8, 6]]	[[]]
6	[[4, 16], [30, 7], [4, 22], [30, 21], [17, 20], [19, 9], [25, 14], [14, 6], [12, 14], [6, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [7, 6]]	[[]]
7	[[4, 16], [30, 7], [4, 22], [30, 21], [17, 20], [19, 10], [25, 14], [14, 5], [12, 14], [6, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [8, 7]]	[[]]
8	[[4, 16], [30, 7], [3, 23], [30, 21], [17, 20], [19, 10], [25, 14], [14, 4], [12, 14], [6, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [8, 7]]	[[]]
9	[[4, 16], [30, 7], [3, 23], [30, 21], [18, 21], [19, 10], [25, 14], [14, 3], [12, 14], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [8, 7]]	[[]]
10	[[4, 16], [30, 7], [2, 24], [30, 22], [18, 21], [19, 10], [26, 15], [14, 2], [12, 14], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [8, 7]]	[[]]
11	[[4, 17], [30, 7], [2, 24], [30, 22], [18, 21], [19, 10], [26, 15], [15, 3], [12, 14], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [8, 7]]	[[]]
12	[[4, 17], [30, 7], [2, 24], [30, 22], [18, 21], [19, 10], [26, 15], [15, 3], [12, 15], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [9, 8]]	[[]]
13	[[4, 17], [30, 7], [2, 24], [30, 22], [18, 21], [19, 10], [26, 15], [15, 3], [12, 16], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [9, 8]]	[[]]
14	[[4, 17], [30, 7], [2, 24], [30, 22], [19, 22], [19, 10], [26, 15], [15, 3], [12, 16], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [9, 8]]	[[]]
15	[[4, 17], [30, 7], [2, 24], [30, 22], [19, 22], [19, 10], [26, 15], [16, 2], [12, 16], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [9, 8]]	[[]]
16	[[4, 17], [30, 7], [2, 24], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [7, 0], [0, 3], [25, 30], [13, 30], [2, 10], [27, 0], [9, 8]]	[[]]
17	[[4, 17], [30, 7], [2, 24], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 2], [25, 30], [13, 30], [2, 10], [27, 0], [9, 8]]	[[]]
18	[[4, 17], [30, 7], [2, 24], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 2], [25, 30], [13, 30], [1, 10], [27, 0], [10, 8]]	[[]]
19	[[4, 17], [30, 7], [2, 24], [30, 23], [19, 22], [19, 10], [26, 15], [17, 1], [12, 16], [8, 0], [0, 2], [25, 30], [13, 30], [0, 10], [27, 0], [10, 8]]	[[]]
